Year_and_month,Industry,Salary
2010-01-01,Manufacturing,55301
2010-02-01,Manufacturing,63979
2010-03-01,Manufacturing,38379
2010-04-01,Manufacturing,38432
2010-05-01,Manufacturing,38747
2010-06-01,Manufacturing,40885
2010-07-01,Manufacturing,41018
2010-08-01,Manufacturing,39966
2010-09-01,Manufacturing,41154
2010-10-01,Manufacturing,39341
2010-11-01,Manufacturing,38577
2010-12-01,Manufacturing,43011
2011-01-01,Manufacturing,79609
2011-02-01,Manufacturing,48142
2011-03-01,Manufacturing,38972
2011-04-01,Manufacturing,39018
2011-05-01,Manufacturing,40769
2011-06-01,Manufacturing,40392
2011-07-01,Manufacturing,42666
2011-08-01,Manufacturing,42649
2011-09-01,Manufacturing,41945
2011-10-01,Manufacturing,39453
2011-11-01,Manufacturing,38603
2011-12-01,Manufacturing,43719
2012-01-01,Manufacturing,85642
2012-02-01,Manufacturing,41114
2012-03-01,Manufacturing,39396
2012-04-01,Manufacturing,39495
2012-05-01,Manufacturing,39919
2012-06-01,Manufacturing,42694
2012-07-01,Manufacturing,41366
2012-08-01,Manufacturing,41569
2012-09-01,Manufacturing,45862
2012-10-01,Manufacturing,40345
2012-11-01,Manufacturing,39343
2012-12-01,Manufacturing,46420
2013-01-01,Manufacturing,61143
2013-02-01,Manufacturing,61417
2013-03-01,Manufacturing,40293
2013-04-01,Manufacturing,40518
2013-05-01,Manufacturing,41081
2013-06-01,Manufacturing,42463
2013-07-01,Manufacturing,42479
2013-08-01,Manufacturing,43565
2013-09-01,Manufacturing,43700
2013-10-01,Manufacturing,42267
2013-11-01,Manufacturing,40965
2013-12-01,Manufacturing,45720
2014-01-01,Manufacturing,85023
2014-02-01,Manufacturing,41997
2014-03-01,Manufacturing,40756
2014-04-01,Manufacturing,41167
2014-05-01,Manufacturing,44548
2014-06-01,Manufacturing,41982
2014-07-01,Manufacturing,47978
2014-08-01,Manufacturing,46458
2014-09-01,Manufacturing,43823
2014-10-01,Manufacturing,42530
2014-11-01,Manufacturing,43356
2014-12-01,Manufacturing,45031
2015-01-01,Manufacturing,51897
2015-02-01,Manufacturing,87441
2015-03-01,Manufacturing,42036
2015-04-01,Manufacturing,42560
2015-05-01,Manufacturing,43625
2015-06-01,Manufacturing,44338
2015-07-01,Manufacturing,51467
2015-08-01,Manufacturing,45688
2015-09-01,Manufacturing,45033
2015-10-01,Manufacturing,42341
2015-11-01,Manufacturing,42789
2015-12-01,Manufacturing,45582
2016-01-01,Manufacturing,77862
2016-02-01,Manufacturing,58808
2016-03-01,Manufacturing,42398
2016-04-01,Manufacturing,42356
2016-05-01,Manufacturing,44882
2016-06-01,Manufacturing,44846
2016-07-01,Manufacturing,49595
2016-08-01,Manufacturing,47554
2016-09-01,Manufacturing,45847
2016-10-01,Manufacturing,43656
2016-11-01,Manufacturing,44991
2016-12-01,Manufacturing,47279
2017-01-01,Manufacturing,95165
2017-02-01,Manufacturing,45491
2017-03-01,Manufacturing,43655
2017-04-01,Manufacturing,43584
2017-05-01,Manufacturing,49855
2017-06-01,Manufacturing,43556
2017-07-01,Manufacturing,53839
2017-08-01,Manufacturing,47553
2017-09-01,Manufacturing,46226
2017-10-01,Manufacturing,45337
2017-11-01,Manufacturing,46413
2017-12-01,Manufacturing,47837
2018-01-01,Manufacturing,58250
2018-02-01,Manufacturing,90530
2018-03-01,Manufacturing,45228
2018-04-01,Manufacturing,44945
2018-05-01,Manufacturing,47939
2018-06-01,Manufacturing,47670
2018-07-01,Manufacturing,58140
2018-08-01,Manufacturing,50689
2018-09-01,Manufacturing,48324
2018-10-01,Manufacturing,45832
2018-11-01,Manufacturing,47930
2018-12-01,Manufacturing,50167
2019-01-01,Manufacturing,92683
2019-02-01,Manufacturing,57167
2019-03-01,Manufacturing,44248
2019-04-01,Manufacturing,44831
2019-05-01,Manufacturing,49298
2019-06-01,Manufacturing,47883
2019-07-01,Manufacturing,60051
2019-08-01,Manufacturing,51930
2019-09-01,Manufacturing,50260
2019-10-01,Manufacturing,46679
2019-11-01,Manufacturing,48883
2019-12-01,Manufacturing,51327
2020-01-01,Manufacturing,99693
2020-02-01,Manufacturing,50605
2020-03-01,Manufacturing,45955
2020-04-01,Manufacturing,45650
2020-05-01,Manufacturing,48189
2020-06-01,Manufacturing,49143
2020-07-01,Manufacturing,57922
1980-01-01,Electricity_and_gas_supply,12550
1980-02-01,Electricity_and_gas_supply,13598
1980-03-01,Electricity_and_gas_supply,13172
1980-04-01,Electricity_and_gas_supply,14721
1980-05-01,Electricity_and_gas_supply,12810
1980-06-01,Electricity_and_gas_supply,13750
1980-07-01,Electricity_and_gas_supply,16545
1980-08-01,Electricity_and_gas_supply,16008
1980-09-01,Electricity_and_gas_supply,16067
1980-10-01,Electricity_and_gas_supply,16033
1980-11-01,Electricity_and_gas_supply,16136
1980-12-01,Electricity_and_gas_supply,17649
1981-01-01,Electricity_and_gas_supply,17267
1981-02-01,Electricity_and_gas_supply,17655
1981-03-01,Electricity_and_gas_supply,17248
1981-04-01,Electricity_and_gas_supply,17062
1981-05-01,Electricity_and_gas_supply,16809
1981-06-01,Electricity_and_gas_supply,16448
1981-07-01,Electricity_and_gas_supply,27018
1981-08-01,Electricity_and_gas_supply,19787
1981-09-01,Electricity_and_gas_supply,19871
1981-10-01,Electricity_and_gas_supply,20577
1981-11-01,Electricity_and_gas_supply,19788
1981-12-01,Electricity_and_gas_supply,19974
1982-01-01,Electricity_and_gas_supply,21187
1982-02-01,Electricity_and_gas_supply,20668
1982-03-01,Electricity_and_gas_supply,20421
1982-04-01,Electricity_and_gas_supply,20299
1982-05-01,Electricity_and_gas_supply,20788
1982-06-01,Electricity_and_gas_supply,20690
1982-07-01,Electricity_and_gas_supply,20395
1982-08-01,Electricity_and_gas_supply,19486
1982-09-01,Electricity_and_gas_supply,20521
1982-10-01,Electricity_and_gas_supply,21021
1982-11-01,Electricity_and_gas_supply,20714
1982-12-01,Electricity_and_gas_supply,21147
1983-01-01,Electricity_and_gas_supply,21281
1983-02-01,Electricity_and_gas_supply,21509
1983-03-01,Electricity_and_gas_supply,20394
1983-04-01,Electricity_and_gas_supply,19653
1983-05-01,Electricity_and_gas_supply,20611
1983-06-01,Electricity_and_gas_supply,26153
1983-07-01,Electricity_and_gas_supply,20405
1983-08-01,Electricity_and_gas_supply,20376
1983-09-01,Electricity_and_gas_supply,26867
1983-10-01,Electricity_and_gas_supply,20855
1983-11-01,Electricity_and_gas_supply,20525
1983-12-01,Electricity_and_gas_supply,21492
1984-01-01,Electricity_and_gas_supply,21667
1984-02-01,Electricity_and_gas_supply,21145
1984-03-01,Electricity_and_gas_supply,21863
1984-04-01,Electricity_and_gas_supply,21083
1984-05-01,Electricity_and_gas_supply,20930
1984-06-01,Electricity_and_gas_supply,26820
1984-07-01,Electricity_and_gas_supply,44876
1984-08-01,Electricity_and_gas_supply,22460
1984-09-01,Electricity_and_gas_supply,29210
1984-10-01,Electricity_and_gas_supply,22126
1984-11-01,Electricity_and_gas_supply,22334
1984-12-01,Electricity_and_gas_supply,31551
1985-01-01,Electricity_and_gas_supply,23133
1985-02-01,Electricity_and_gas_supply,34581
1985-03-01,Electricity_and_gas_supply,22040
1985-04-01,Electricity_and_gas_supply,23372
1985-05-01,Electricity_and_gas_supply,23075
1985-06-01,Electricity_and_gas_supply,30466
1985-07-01,Electricity_and_gas_supply,51406
1985-08-01,Electricity_and_gas_supply,25706
1985-09-01,Electricity_and_gas_supply,26202
1985-10-01,Electricity_and_gas_supply,25578
1985-11-01,Electricity_and_gas_supply,25844
1985-12-01,Electricity_and_gas_supply,36473
1986-01-01,Electricity_and_gas_supply,40060
1986-02-01,Electricity_and_gas_supply,26674
1986-03-01,Electricity_and_gas_supply,25701
1986-04-01,Electricity_and_gas_supply,24963
1986-05-01,Electricity_and_gas_supply,25207
1986-06-01,Electricity_and_gas_supply,25603
1986-07-01,Electricity_and_gas_supply,48210
1986-08-01,Electricity_and_gas_supply,25236
1986-09-01,Electricity_and_gas_supply,26467
1986-10-01,Electricity_and_gas_supply,26198
1986-11-01,Electricity_and_gas_supply,26036
1986-12-01,Electricity_and_gas_supply,27851
1987-01-01,Electricity_and_gas_supply,45599
1987-02-01,Electricity_and_gas_supply,25748
1987-03-01,Electricity_and_gas_supply,25008
1987-04-01,Electricity_and_gas_supply,25879
1987-05-01,Electricity_and_gas_supply,25561
1987-06-01,Electricity_and_gas_supply,25894
1987-07-01,Electricity_and_gas_supply,50790
1987-08-01,Electricity_and_gas_supply,26694
1987-09-01,Electricity_and_gas_supply,27215
1987-10-01,Electricity_and_gas_supply,26681
1987-11-01,Electricity_and_gas_supply,27247
1987-12-01,Electricity_and_gas_supply,30267
1988-01-01,Electricity_and_gas_supply,42336
1988-02-01,Electricity_and_gas_supply,28600
1988-03-01,Electricity_and_gas_supply,31998
1988-04-01,Electricity_and_gas_supply,27973
1988-05-01,Electricity_and_gas_supply,26902
1988-06-01,Electricity_and_gas_supply,32056
1988-07-01,Electricity_and_gas_supply,54579
1988-08-01,Electricity_and_gas_supply,29356
1988-09-01,Electricity_and_gas_supply,30141
1988-10-01,Electricity_and_gas_supply,29612
1988-11-01,Electricity_and_gas_supply,29621
1988-12-01,Electricity_and_gas_supply,50385
1989-01-01,Electricity_and_gas_supply,36054
1989-02-01,Electricity_and_gas_supply,63414
1989-03-01,Electricity_and_gas_supply,32931
1989-04-01,Electricity_and_gas_supply,31816
1989-05-01,Electricity_and_gas_supply,36081
1989-06-01,Electricity_and_gas_supply,34303
1989-07-01,Electricity_and_gas_supply,35506
1989-08-01,Electricity_and_gas_supply,36594
1989-09-01,Electricity_and_gas_supply,37031
1989-10-01,Electricity_and_gas_supply,74805
1989-11-01,Electricity_and_gas_supply,37555
1989-12-01,Electricity_and_gas_supply,54968
1990-01-01,Electricity_and_gas_supply,71781
1990-02-01,Electricity_and_gas_supply,67296
1990-03-01,Electricity_and_gas_supply,38574
1990-04-01,Electricity_and_gas_supply,38619
1990-05-01,Electricity_and_gas_supply,39695
1990-06-01,Electricity_and_gas_supply,38342
1990-07-01,Electricity_and_gas_supply,38458
1990-08-01,Electricity_and_gas_supply,38311
1990-09-01,Electricity_and_gas_supply,48737
1990-10-01,Electricity_and_gas_supply,42526
1990-11-01,Electricity_and_gas_supply,42673
1990-12-01,Electricity_and_gas_supply,64352
1991-01-01,Electricity_and_gas_supply,77498
1991-02-01,Electricity_and_gas_supply,72087
1991-03-01,Electricity_and_gas_supply,44404
1991-04-01,Electricity_and_gas_supply,43240
1991-05-01,Electricity_and_gas_supply,121352
1991-06-01,Electricity_and_gas_supply,43793
1991-07-01,Electricity_and_gas_supply,44228
1991-08-01,Electricity_and_gas_supply,42730
1991-09-01,Electricity_and_gas_supply,43199
1991-10-01,Electricity_and_gas_supply,51127
1991-11-01,Electricity_and_gas_supply,45220
1991-12-01,Electricity_and_gas_supply,71791
1992-01-01,Electricity_and_gas_supply,87172
1992-02-01,Electricity_and_gas_supply,86252
1992-03-01,Electricity_and_gas_supply,47096
1992-04-01,Electricity_and_gas_supply,46427
1992-05-01,Electricity_and_gas_supply,106298
1992-06-01,Electricity_and_gas_supply,46265
1992-07-01,Electricity_and_gas_supply,45115
1992-08-01,Electricity_and_gas_supply,45041
1992-09-01,Electricity_and_gas_supply,44751
1992-10-01,Electricity_and_gas_supply,44631
1992-11-01,Electricity_and_gas_supply,57818
1992-12-01,Electricity_and_gas_supply,75008
1993-01-01,Electricity_and_gas_supply,93708
1993-02-01,Electricity_and_gas_supply,49211
1993-03-01,Electricity_and_gas_supply,49042
1993-04-01,Electricity_and_gas_supply,49215
1993-05-01,Electricity_and_gas_supply,89980
1993-06-01,Electricity_and_gas_supply,50094
1993-07-01,Electricity_and_gas_supply,48494
1993-08-01,Electricity_and_gas_supply,48634
1993-09-01,Electricity_and_gas_supply,89435
1993-10-01,Electricity_and_gas_supply,78447
1993-11-01,Electricity_and_gas_supply,51929
1993-12-01,Electricity_and_gas_supply,80573
1994-01-01,Electricity_and_gas_supply,97193
1994-02-01,Electricity_and_gas_supply,127405
1994-03-01,Electricity_and_gas_supply,54122
1994-04-01,Electricity_and_gas_supply,53657
1994-05-01,Electricity_and_gas_supply,53870
1994-06-01,Electricity_and_gas_supply,53957
1994-07-01,Electricity_and_gas_supply,52800
1994-08-01,Electricity_and_gas_supply,52957
1994-09-01,Electricity_and_gas_supply,58729
1994-10-01,Electricity_and_gas_supply,54989
1994-11-01,Electricity_and_gas_supply,84723
1994-12-01,Electricity_and_gas_supply,87928
1995-01-01,Electricity_and_gas_supply,156998
1995-02-01,Electricity_and_gas_supply,56416
1995-03-01,Electricity_and_gas_supply,55089
1995-04-01,Electricity_and_gas_supply,55705
1995-05-01,Electricity_and_gas_supply,56799
1995-06-01,Electricity_and_gas_supply,55561
1995-07-01,Electricity_and_gas_supply,54965
1995-08-01,Electricity_and_gas_supply,54470
1995-09-01,Electricity_and_gas_supply,64304
1995-10-01,Electricity_and_gas_supply,58770
1995-11-01,Electricity_and_gas_supply,90291
1995-12-01,Electricity_and_gas_supply,103769
1996-01-01,Electricity_and_gas_supply,214615
1996-02-01,Electricity_and_gas_supply,69183
1996-03-01,Electricity_and_gas_supply,61214
1996-04-01,Electricity_and_gas_supply,60291
1996-05-01,Electricity_and_gas_supply,60243
1996-06-01,Electricity_and_gas_supply,59988
1996-07-01,Electricity_and_gas_supply,57719
1996-08-01,Electricity_and_gas_supply,57766
1996-09-01,Electricity_and_gas_supply,61357
1996-10-01,Electricity_and_gas_supply,58779
1996-11-01,Electricity_and_gas_supply,92212
1996-12-01,Electricity_and_gas_supply,105211
1997-01-01,Electricity_and_gas_supply,245705
1997-02-01,Electricity_and_gas_supply,65123
1997-03-01,Electricity_and_gas_supply,62391
1997-04-01,Electricity_and_gas_supply,63123
1997-05-01,Electricity_and_gas_supply,62816
1997-06-01,Electricity_and_gas_supply,63062
1997-07-01,Electricity_and_gas_supply,60282
1997-08-01,Electricity_and_gas_supply,59906
1997-09-01,Electricity_and_gas_supply,61598
1997-10-01,Electricity_and_gas_supply,61418
1997-11-01,Electricity_and_gas_supply,61627
1997-12-01,Electricity_and_gas_supply,98264
1998-01-01,Electricity_and_gas_supply,304752
1998-02-01,Electricity_and_gas_supply,64651
1998-03-01,Electricity_and_gas_supply,66982
1998-04-01,Electricity_and_gas_supply,64576
1998-05-01,Electricity_and_gas_supply,66414
1998-06-01,Electricity_and_gas_supply,64908
1998-07-01,Electricity_and_gas_supply,64175
1998-08-01,Electricity_and_gas_supply,62760
1998-09-01,Electricity_and_gas_supply,65427
1998-10-01,Electricity_and_gas_supply,62948
1998-11-01,Electricity_and_gas_supply,62663
1998-12-01,Electricity_and_gas_supply,105819
1999-01-01,Electricity_and_gas_supply,119179
1999-02-01,Electricity_and_gas_supply,267900
1999-03-01,Electricity_and_gas_supply,68176
1999-04-01,Electricity_and_gas_supply,68948
1999-05-01,Electricity_and_gas_supply,67472
1999-06-01,Electricity_and_gas_supply,68744
1999-07-01,Electricity_and_gas_supply,66576
1999-08-01,Electricity_and_gas_supply,64937
1999-09-01,Electricity_and_gas_supply,67287
1999-10-01,Electricity_and_gas_supply,65180
1999-11-01,Electricity_and_gas_supply,66308
1999-12-01,Electricity_and_gas_supply,110483
2000-01-01,Electricity_and_gas_supply,131472
2000-02-01,Electricity_and_gas_supply,245618
2000-03-01,Electricity_and_gas_supply,68687
2000-04-01,Electricity_and_gas_supply,70908
2000-05-01,Electricity_and_gas_supply,71178
2000-06-01,Electricity_and_gas_supply,68542
2000-07-01,Electricity_and_gas_supply,67416
2000-08-01,Electricity_and_gas_supply,66178
2000-09-01,Electricity_and_gas_supply,66927
2000-10-01,Electricity_and_gas_supply,66340
2000-11-01,Electricity_and_gas_supply,67803
2000-12-01,Electricity_and_gas_supply,110039
2001-01-01,Electricity_and_gas_supply,186560
2001-02-01,Electricity_and_gas_supply,70044
2001-03-01,Electricity_and_gas_supply,70576
2001-04-01,Electricity_and_gas_supply,70106
2001-05-01,Electricity_and_gas_supply,70037
2001-06-01,Electricity_and_gas_supply,69025
2001-07-01,Electricity_and_gas_supply,65804
2001-08-01,Electricity_and_gas_supply,65927
2001-09-01,Electricity_and_gas_supply,67912
2001-10-01,Electricity_and_gas_supply,257136
2001-11-01,Electricity_and_gas_supply,68321
2001-12-01,Electricity_and_gas_supply,109864
2002-01-01,Electricity_and_gas_supply,151567
2002-02-01,Electricity_and_gas_supply,121254
2002-03-01,Electricity_and_gas_supply,68200
2002-04-01,Electricity_and_gas_supply,70162
2002-05-01,Electricity_and_gas_supply,117493
2002-06-01,Electricity_and_gas_supply,71391
2002-07-01,Electricity_and_gas_supply,68455
2002-08-01,Electricity_and_gas_supply,100694
2002-09-01,Electricity_and_gas_supply,108163
2002-10-01,Electricity_and_gas_supply,66088
2002-11-01,Electricity_and_gas_supply,66579
2002-12-01,Electricity_and_gas_supply,110448
2003-01-01,Electricity_and_gas_supply,199586
2003-02-01,Electricity_and_gas_supply,69131
2003-03-01,Electricity_and_gas_supply,69256
2003-04-01,Electricity_and_gas_supply,69050
2003-05-01,Electricity_and_gas_supply,120768
2003-06-01,Electricity_and_gas_supply,68239
2003-07-01,Electricity_and_gas_supply,68561
2003-08-01,Electricity_and_gas_supply,67683
2003-09-01,Electricity_and_gas_supply,119292
2003-10-01,Electricity_and_gas_supply,101598
2003-11-01,Electricity_and_gas_supply,68139
2003-12-01,Electricity_and_gas_supply,121151
2004-01-01,Electricity_and_gas_supply,189112
2004-02-01,Electricity_and_gas_supply,68182
2004-03-01,Electricity_and_gas_supply,72425
2004-04-01,Electricity_and_gas_supply,68839
2004-05-01,Electricity_and_gas_supply,124665
2004-06-01,Electricity_and_gas_supply,72442
2004-07-01,Electricity_and_gas_supply,69721
2004-08-01,Electricity_and_gas_supply,103848
2004-09-01,Electricity_and_gas_supply,109894
2004-10-01,Electricity_and_gas_supply,68812
2004-11-01,Electricity_and_gas_supply,68688
2004-12-01,Electricity_and_gas_supply,116878
2005-01-01,Electricity_and_gas_supply,139483
2005-02-01,Electricity_and_gas_supply,126881
2005-03-01,Electricity_and_gas_supply,69381
2005-04-01,Electricity_and_gas_supply,71124
2005-05-01,Electricity_and_gas_supply,69602
2005-06-01,Electricity_and_gas_supply,71237
2005-07-01,Electricity_and_gas_supply,69827
2005-08-01,Electricity_and_gas_supply,70509
2005-09-01,Electricity_and_gas_supply,71472
2005-10-01,Electricity_and_gas_supply,69500
2005-11-01,Electricity_and_gas_supply,125335
2005-12-01,Electricity_and_gas_supply,140535
2006-01-01,Electricity_and_gas_supply,201787
2006-02-01,Electricity_and_gas_supply,71208
2006-03-01,Electricity_and_gas_supply,72706
2006-04-01,Electricity_and_gas_supply,71479
2006-05-01,Electricity_and_gas_supply,109454
2006-06-01,Electricity_and_gas_supply,72429
2006-07-01,Electricity_and_gas_supply,71950
2006-08-01,Electricity_and_gas_supply,107646
2006-09-01,Electricity_and_gas_supply,72054
2006-10-01,Electricity_and_gas_supply,70217
2006-11-01,Electricity_and_gas_supply,124458
2006-12-01,Electricity_and_gas_supply,120660
2007-01-01,Electricity_and_gas_supply,125571
2007-02-01,Electricity_and_gas_supply,125556
2007-03-01,Electricity_and_gas_supply,71367
2007-04-01,Electricity_and_gas_supply,73797
2007-05-01,Electricity_and_gas_supply,107789
2007-06-01,Electricity_and_gas_supply,76078
2007-07-01,Electricity_and_gas_supply,71793
2007-08-01,Electricity_and_gas_supply,108305
2007-09-01,Electricity_and_gas_supply,71092
2007-10-01,Electricity_and_gas_supply,69884
2007-11-01,Electricity_and_gas_supply,70956
2007-12-01,Electricity_and_gas_supply,210375
2008-01-01,Electricity_and_gas_supply,144705
2008-02-01,Electricity_and_gas_supply,110750
2008-03-01,Electricity_and_gas_supply,72060
2008-04-01,Electricity_and_gas_supply,73120
2008-05-01,Electricity_and_gas_supply,99854
2008-06-01,Electricity_and_gas_supply,74883
2008-07-01,Electricity_and_gas_supply,70482
2008-08-01,Electricity_and_gas_supply,96751
2008-09-01,Electricity_and_gas_supply,71826
2008-10-01,Electricity_and_gas_supply,68841
2008-11-01,Electricity_and_gas_supply,72024
2008-12-01,Electricity_and_gas_supply,117697
2009-01-01,Electricity_and_gas_supply,143726
2009-02-01,Electricity_and_gas_supply,143444
2009-03-01,Electricity_and_gas_supply,73057
2009-04-01,Electricity_and_gas_supply,69591
2009-05-01,Electricity_and_gas_supply,89861
2009-06-01,Electricity_and_gas_supply,70252
2009-07-01,Electricity_and_gas_supply,72484
2009-08-01,Electricity_and_gas_supply,69569
2009-09-01,Electricity_and_gas_supply,70914
2009-10-01,Electricity_and_gas_supply,98858
2009-11-01,Electricity_and_gas_supply,68772
2009-12-01,Electricity_and_gas_supply,184921
2010-01-01,Electricity_and_gas_supply,132438
2010-02-01,Electricity_and_gas_supply,116995
2010-03-01,Electricity_and_gas_supply,71781
2010-04-01,Electricity_and_gas_supply,72285
2010-05-01,Electricity_and_gas_supply,97755
2010-06-01,Electricity_and_gas_supply,74474
2010-07-01,Electricity_and_gas_supply,173716
2010-08-01,Electricity_and_gas_supply,72147
2010-09-01,Electricity_and_gas_supply,72568
2010-10-01,Electricity_and_gas_supply,70100
2010-11-01,Electricity_and_gas_supply,84799
2010-12-01,Electricity_and_gas_supply,119369
2011-01-01,Electricity_and_gas_supply,143294
2011-02-01,Electricity_and_gas_supply,78012
2011-03-01,Electricity_and_gas_supply,71669
2011-04-01,Electricity_and_gas_supply,73968
2011-05-01,Electricity_and_gas_supply,127261
2011-06-01,Electricity_and_gas_supply,73300
2011-07-01,Electricity_and_gas_supply,74339
2011-08-01,Electricity_and_gas_supply,148989
2011-09-01,Electricity_and_gas_supply,72499
2011-10-01,Electricity_and_gas_supply,90684
2011-11-01,Electricity_and_gas_supply,71885
2011-12-01,Electricity_and_gas_supply,118529
2012-01-01,Electricity_and_gas_supply,186726
2012-02-01,Electricity_and_gas_supply,73258
2012-03-01,Electricity_and_gas_supply,76031
2012-04-01,Electricity_and_gas_supply,72227
2012-05-01,Electricity_and_gas_supply,109065
2012-06-01,Electricity_and_gas_supply,75806
2012-07-01,Electricity_and_gas_supply,73740
2012-08-01,Electricity_and_gas_supply,75863
2012-09-01,Electricity_and_gas_supply,110753
2012-10-01,Electricity_and_gas_supply,72236
2012-11-01,Electricity_and_gas_supply,70979
2012-12-01,Electricity_and_gas_supply,117397
2013-01-01,Electricity_and_gas_supply,138765
2013-02-01,Electricity_and_gas_supply,76180
2013-03-01,Electricity_and_gas_supply,72066
2013-04-01,Electricity_and_gas_supply,74855
2013-05-01,Electricity_and_gas_supply,73192
2013-06-01,Electricity_and_gas_supply,74833
2013-07-01,Electricity_and_gas_supply,73761
2013-08-01,Electricity_and_gas_supply,74174
2013-09-01,Electricity_and_gas_supply,74161
2013-10-01,Electricity_and_gas_supply,73152
2013-11-01,Electricity_and_gas_supply,148981
2013-12-01,Electricity_and_gas_supply,113709
2014-01-01,Electricity_and_gas_supply,150657
2014-02-01,Electricity_and_gas_supply,72426
2014-03-01,Electricity_and_gas_supply,74653
2014-04-01,Electricity_and_gas_supply,73037
2014-05-01,Electricity_and_gas_supply,75110
2014-06-01,Electricity_and_gas_supply,72641
2014-07-01,Electricity_and_gas_supply,75568
2014-08-01,Electricity_and_gas_supply,155691
2014-09-01,Electricity_and_gas_supply,120414
2014-10-01,Electricity_and_gas_supply,71292
2014-11-01,Electricity_and_gas_supply,71567
2014-12-01,Electricity_and_gas_supply,116439
2015-01-01,Electricity_and_gas_supply,125079
2015-02-01,Electricity_and_gas_supply,91469
2015-03-01,Electricity_and_gas_supply,73110
2015-04-01,Electricity_and_gas_supply,72823
2015-05-01,Electricity_and_gas_supply,75676
2015-06-01,Electricity_and_gas_supply,75420
2015-07-01,Electricity_and_gas_supply,75888
2015-08-01,Electricity_and_gas_supply,194678
2015-09-01,Electricity_and_gas_supply,71263
2015-10-01,Electricity_and_gas_supply,118884
2015-11-01,Electricity_and_gas_supply,70911
2015-12-01,Electricity_and_gas_supply,112799
2016-01-01,Electricity_and_gas_supply,130941
2016-02-01,Electricity_and_gas_supply,80663
2016-03-01,Electricity_and_gas_supply,72372
2016-04-01,Electricity_and_gas_supply,73766
2016-05-01,Electricity_and_gas_supply,192403
2016-06-01,Electricity_and_gas_supply,120387
2016-07-01,Electricity_and_gas_supply,74612
2016-08-01,Electricity_and_gas_supply,69564
2016-09-01,Electricity_and_gas_supply,71363
2016-10-01,Electricity_and_gas_supply,67643
2016-11-01,Electricity_and_gas_supply,70456
2016-12-01,Electricity_and_gas_supply,111035
2017-01-01,Electricity_and_gas_supply,139849
2017-02-01,Electricity_and_gas_supply,70023
2017-03-01,Electricity_and_gas_supply,72322
2017-04-01,Electricity_and_gas_supply,71726
2017-05-01,Electricity_and_gas_supply,191240
2017-06-01,Electricity_and_gas_supply,119079
2017-07-01,Electricity_and_gas_supply,75895
2017-08-01,Electricity_and_gas_supply,72454
2017-09-01,Electricity_and_gas_supply,72224
2017-10-01,Electricity_and_gas_supply,70941
2017-11-01,Electricity_and_gas_supply,104175
2017-12-01,Electricity_and_gas_supply,76501
2018-01-01,Electricity_and_gas_supply,127155
2018-02-01,Electricity_and_gas_supply,88503
2018-03-01,Electricity_and_gas_supply,71655
2018-04-01,Electricity_and_gas_supply,74019
2018-05-01,Electricity_and_gas_supply,69097
2018-06-01,Electricity_and_gas_supply,194866
2018-07-01,Electricity_and_gas_supply,116748
2018-08-01,Electricity_and_gas_supply,86259
2018-09-01,Electricity_and_gas_supply,73889
2018-10-01,Electricity_and_gas_supply,71814
2018-11-01,Electricity_and_gas_supply,99998
2018-12-01,Electricity_and_gas_supply,77257
2019-01-01,Electricity_and_gas_supply,152107
2019-02-01,Electricity_and_gas_supply,74130
2019-03-01,Electricity_and_gas_supply,72893
2019-04-01,Electricity_and_gas_supply,74995
2019-05-01,Electricity_and_gas_supply,191242
2019-06-01,Electricity_and_gas_supply,75480
2019-07-01,Electricity_and_gas_supply,116506
2019-08-01,Electricity_and_gas_supply,74497
2019-09-01,Electricity_and_gas_supply,73709
2019-10-01,Electricity_and_gas_supply,71523
2019-11-01,Electricity_and_gas_supply,99306
2019-12-01,Electricity_and_gas_supply,77543
2020-01-01,Electricity_and_gas_supply,149046
2020-02-01,Electricity_and_gas_supply,71658
2020-03-01,Electricity_and_gas_supply,74587
2020-04-01,Electricity_and_gas_supply,72915
2020-05-01,Electricity_and_gas_supply,70829
2020-06-01,Electricity_and_gas_supply,77781
2020-07-01,Electricity_and_gas_supply,220749
1980-01-01,Water_supply_and_remediation_activities,7827
1980-02-01,Water_supply_and_remediation_activities,10980
1980-03-01,Water_supply_and_remediation_activities,8121
1980-04-01,Water_supply_and_remediation_activities,8315
1980-05-01,Water_supply_and_remediation_activities,8565
1980-06-01,Water_supply_and_remediation_activities,8690
1980-07-01,Water_supply_and_remediation_activities,9184
1980-08-01,Water_supply_and_remediation_activities,9355
1980-09-01,Water_supply_and_remediation_activities,9673
1980-10-01,Water_supply_and_remediation_activities,9373
1980-11-01,Water_supply_and_remediation_activities,9533
1980-12-01,Water_supply_and_remediation_activities,9580
1981-01-01,Water_supply_and_remediation_activities,11669
1981-02-01,Water_supply_and_remediation_activities,11365
1981-03-01,Water_supply_and_remediation_activities,10087
1981-04-01,Water_supply_and_remediation_activities,10725
1981-05-01,Water_supply_and_remediation_activities,10363
1981-06-01,Water_supply_and_remediation_activities,10445
1981-07-01,Water_supply_and_remediation_activities,10334
1981-08-01,Water_supply_and_remediation_activities,10423
1981-09-01,Water_supply_and_remediation_activities,11374
1981-10-01,Water_supply_and_remediation_activities,10902
1981-11-01,Water_supply_and_remediation_activities,10951
1981-12-01,Water_supply_and_remediation_activities,10984
1982-01-01,Water_supply_and_remediation_activities,13560
